iter	Passed	Remaining
418	2851	3953
419	2863	3954
420	2876	3956
421	2884	3951
422	2894	3947
423	2902	3942
424	2912	3940
425	2919	3934
426	2930	3932
427	2937	3926
428	2947	3923
429	2954	3916
430	2964	3914
431	2971	3907
432	2982	3904
433	2988	3897
434	2998	3895
435	3006	3888
436	3014	3883
437	3023	3879
438	3033	3876
439	3043	3873
440	3051	3867
441	3061	3864
442	3068	3858
443	3081	3858
444	3092	3856
445	3100	3851
446	3110	3848
447	3118	3842
448	3128	3839
449	3135	3831
450	3145	3828
451	3151	3820
452	3160	3816
453	3167	3809
454	3178	3807
455	3187	3802
456	3195	3797
457	3204	3792
458	3212	3786
459	3221	3781
460	3229	3775
461	3238	3770
462	3245	3764
463	3254	3759
464	3261	3752
465	3271	3748
466	3279	3742
467	3287	3737
468	3294	3729
469	3301	3723
470	3309	3716
471	3315	3708
472	3323	3703
473	3329	3695
474	3339	3690
475	3345	3683
476	3355	3679
477	3362	3671
478	3371	3667
479	3378	3659
480	3389	3657
481	3397	3651
482	3406	3646
483	3416	3642
484	3424	3636
485	3435	3633
486	3443	3627
487	3453	3623
488	3461	3617
489	3471	3613
490	3478	3606
491	3486	3599
492	3496	3596
493	3504	3589
494	3514	3585
495	3521	3578
496	3532	3574
497	3541	3569
498	3549	3563
499	3557	3557
500	3565	3551
501	3575	3546
502	3582	3539
503	3591	3534
504	3598	3527
505	3607	3521
506	3614	3514
507	3623	3508
508	3630	3501
509	3639	3497
510	3647	3490
511	3656	3485
512	3663	3478
513	3673	3473
514	3681	3466
515	3689	3460
516	3696	3453
517	3704	3446
518	3710	3438
519	3716	3430
520	3725	3424
521	3731	3416
522	3739	3410
523	3745	3402
524	3753	3395
525	3759	3388
526	3765	3379
527	3774	3374
528	3781	3367
529	3792	3362
530	3798	3354
531	3807	3349
532	3814	3342
533	3823	3337
534	3830	3329
535	3840	3324
536	3847	3317
537	3857	3312
538	3864	3304
539	3875	3301
540	3884	3295
541	3891	3288
542	3900	3282
543	3907	3275
544	3916	3269
545	3923	3262
546	3931	3255
547	3938	3248
548	3945	3241
549	3954	3235
550	3961	3228
551	3972	3223
552	3981	3218
553	3989	3211
554	3998	3206
555	4006	3199
556	4014	3193
557	4022	3185
558	4030	3179
559	4038	3172
560	4048	3167
561	4055	3160
562	4064	3155
563	4073	3149
564	4083	3143
565	4090	3136
566	4099	3130
567	4107	3123
568	4116	3118
569	4124	3111
570	4132	3104
571	4140	3097
572	4149	3092
573	4157	3085
574	4166	3079
575	4173	3072
576	4182	3066
577	4189	3058
578	4198	3052
579	4205	3045
580	4214	3039
581	4221	3032
582	4230	3026
583	4237	3018
584	4245	3012
585	4253	3004
586	4262	2998
587	4269	2991
588	4278	2985
589	4286	2978
590	4295	2972
591	4302	2965
592	4312	2959
593	4318	2951
594	4327	2945
595	4334	2938
596	4342	2931
597	4349	2924
598	4358	2918
599	4401	2934
600	4418	2933
601	4436	2932
602	4445	2926
603	4460	2924
604	4469	2917
605	4478	2911
606	4486	2904
607	4494	2897
608	4501	2890
609	4510	2883
610	4516	2875
611	4525	2869
612	4532	2861
613	4540	2854
614	4547	2847
615	4556	2840
616	4563	2832
617	4570	2825
618	4578	2818
619	4585	2810
620	4593	2803
621	4599	2795
622	4608	2788
623	4614	2780
624	4621	2772
625	4629	2765
626	4634	2757
627	4643	2750
628	4649	2742
629	4657	2735
630	4664	2727
631	4671	2720
632	4678	2712
633	4684	2704
634	4692	2697
635	4697	2688
636	4706	2681
637	4712	2673
638	4719	2665
639	4725	2658
640	4731	2650
641	4739	2643
642	4746	2635
643	4754	2628
644	4760	2620
645	4766	2611
646	4774	2604
647	4779	2596
648	4788	2589
649	4794	2581
650	4802	2574
651	4809	2566
652	4817	2559
653	4823	2551
654	4832	2545
655	4838	2537
656	4846	2530
657	4853	2522
658	4863	2516
659	4870	2509
660	4878	2501
661	4885	2494
662	4892	2486
663	4899	2479
664	4906	2471
665	4915	2465
666	4921	2457
667	4930	2450
668	4937	2442
669	4945	2435
670	4951	2427
671	4959	2420
672	4966	2413
673	4975	2406
674	4984	2399
675	4992	2392
676	5001	2386
677	5009	2379
678	5016	2371
679	5024	2364
680	5032	2357
681	5041	2350
682	5048	2343
683	5058	2336
684	5064	2329
685	5073	2322
686	5080	2314
687	5087	2306
688	5095	2299
689	5102	2292
690	5111	2285
691	5118	2278
692	5127	2271
693	5134	2263
694	5143	2257
695	5150	2249
696	5159	2242
697	5166	2235
698	5174	2228
699	5181	2220
700	5189	2213
701	5196	2205
702	5206	2199
703	5213	2191
704	5221	2184
705	5228	2177
706	5237	2170
707	5245	2163
708	5255	2156
709	5262	2149
710	5272	2143
711	5279	2135
712	5287	2128
713	5294	2120
714	5302	2113
715	5311	2106
716	5321	2100
717	5329	2093
718	5339	2086
719	5347	2079
720	5358	2073
721	5367	2066
722	5375	2059
723	5384	2052
724	5392	2045
725	5401	2038
726	5409	2031
727	5418	2024
728	5426	2017
729	5436	2010
730	5444	2003
731	5454	1997
732	5461	1989
733	5471	1982
734	5480	1976
735	5488	1968
736	5498	1962
737	5505	1954
738	5514	1947
739	5522	1940
740	5530	1933
741	5537	1925
742	5547	1918
743	5554	1911
744	5563	1904
745	5571	1896
746	5578	1889
747	5586	1882
748	5594	1874
749	5602	1867
750	5611	1860
751	5619	1853
752	5627	1846
753	5636	1838
754	5643	1831
755	5652	1824
756	5663	1817
757	5670	1810
758	5681	1803
759	5688	1796
760	5697	1789
761	5704	1781
762	5714	1775
763	5721	1767
764	5733	1761
765	5742	1754
766	5750	1746
767	5758	1739
768	5766	1732
769	5772	1724
770	5780	1716
771	5787	1709
772	5796	1702
773	5803	1694
774	5812	1687
775	5819	1679
776	5828	1672
777	5835	1665
778	5845	1658
779	5852	1650
780	5862	1643
781	5868	1636
782	5877	1628
783	5883	1620
784	5889	1613
785	5897	1605
786	5903	1597
787	5912	1590
788	5919	1583
789	5927	1575
790	5933	1567
791	5943	1560
792	5950	1553
793	5959	1546
794	5965	1538
795	5973	1530
796	5979	1523
797	5986	1515
798	5994	1507
799	6000	1500
800	6008	1492
801	6015	1485
802	6023	1477
803	6029	1469
804	6036	1462
805	6043	1454
806	6055	1448
807	6061	1440
808	6067	1432
809	6075	1425
810	6081	1417
811	6090	1410
812	6096	1402
813	6105	1395
814	6111	1387
815	6118	1379
816	6125	1372
817	6143	1366
818	6154	1360
819	6161	1352
820	6168	1344
821	6175	1337
822	6184	1330
823	6190	1322
824	6198	1314
825	6205	1307
826	6211	1299
827	6218	1291
828	6225	1284
829	6233	1276
830	6239	1269
831	6248	1261
832	6255	1254
833	6263	1246
834	6270	1239
835	6277	1231
836	6284	1223
837	6292	1216
838	6300	1209
839	6308	1201
840	6316	1194
841	6324	1186
842	6332	1179
843	6340	1172
844	6348	1164
845	6357	1157
846	6364	1149
847	6372	1142
848	6380	1134
849	6388	1127
850	6397	1120
851	6405	1112
852	6414	1105
853	6423	1098
854	6433	1091
855	6446	1084
856	6455	1077
857	6463	1069
858	6471	1062
859	6479	1054
860	6487	1047
861	6495	1039
862	6503	1032
863	6512	1025
864	6518	1017
865	6527	1010
866	6537	1002
867	6545	995
868	6553	987
869	6561	980
870	6569	972
871	6577	965
872	6583	957
873	6591	950
